order_id,customer_id,product_id,quantity,order_date
O00001,C0094,P0211,5,2025-06-05
O00002,C0009,P0626,3,2024-07-03
O00003,C0039,P0217,1,2024-06-29
O00004,C0608,P0299,3,2025-03-13
O00005,C0544,P0055,1,2024-12-02
O00006,C0634,P0190,4,2024-07-08
O00007,C0610,P0613,5,2025-04-22
O00008,C0214,P0476,2,2025-05-04
O00009,C0757,P0695,2,2023-11-13
O00010,C0918,P0450,1,2024-05-24
O00011,C0115,P0216,1,2025-06-03
O00012,C0251,P0272,3,2025-05-13
O00013,C0088,P0123,2,2023-09-24
O00014,C0286,P0294,2,2024-02-17
O00015,C0806,P0339,1,2025-08-01
O00016,C0529,P0628,4,2025-06-10
O00017,C0910,P0254,2,2025-06-27
O00018,C0860,P0196,1,2024-07-28
O00019,C0359,P0472,3,2024-08-31
O00020,C0176,P0546,1,2025-08-14
O00021,C0193,P0458,1,2025-04-27
O00022,C0364,P0601,3,2025-07-23
O00023,C0663,P0629,2,2024-11-18
O00024,C0310,P0436,4,2024-03-24
O00025,C0160,P0594,5,2024-02-09
O00026,C0098,P0010,1,2024-08-16
O00027,C0070,P0644,3,2023-12-16
O00028,C0567,P0622,2,2025-09-08
O00029,C0761,P0656,4,2023-12-14
O00030,C0022,P0100,4,2024-03-29
O00031,C0920,P0245,1,2024-05-21
O00032,C0016,P0462,4,2025-09-05
O00033,C0105,P0414,2,2024-08-18
O00034,C0551,P0593,2,2025-03-29
O00035,C0543,P0145,3,2024-05-28
O00036,C0438,P0595,5,2024-02-23
O00037,C0347,P0040,4,2023-11-30
O00038,C0328,P0236,1,2025-01-18
O00039,C0578,P0153,2,2024-06-13
O00040,C0590,P0021,2,2024-07-17
O00041,C0544,P0450,1,2023-10-15
O00042,C0319,P0568,4,2025-02-21
O00043,C0243,P0072,2,2025-04-19
O00044,C0313,P0303,4,2025-07-20
O00045,C0452,P0321,3,2024-12-31
O00046,C0752,P0298,5,2024-12-27
O00047,C0730,P0645,4,2024-11-22
O00048,C0903,P0414,3,2024-05-08
O00049,C0275,P0213,4,2025-05-22
O00050,C0794,P0137,1,2025-01-04
O00051,C0828,P0399,4,2024-01-10
O00052,C0114,P0281,3,2025-06-03
O00053,C0748,P0067,4,2025-07-28
O00054,C0206,P0513,5,2025-03-07
O00055,C0564,P0522,2,2025-09-13
O00056,C0207,P0240,5,2024-12-11
O00057,C0926,P0374,4,2025-09-02
O00058,C0515,P0503,3,2024-08-30
O00059,C0313,P0082,2,2024-11-20
O00060,C0701,P0378,5,2025-08-10
O00061,C0401,P0091,2,2025-06-07
O00062,C0186,P0586,4,2023-10-19
O00063,C0125,P0237,5,2025-03-24
O00064,C0247,P0489,2,2025-04-14
O00065,C0682,P0429,2,2024-01-26
O00066,C0881,P0586,3,2024-11-12
O00067,C0875,P0401,3,2023-09-19
O00068,C0014,P0529,1,2023-10-13
O00069,C0664,P0475,2,2025-05-15
O00070,C0840,P0568,3,2025-06-08
O00071,C0329,P0634,3,2023-12-19
O00072,C0407,P0405,1,2024-08-10
O00073,C0338,P0148,1,2024-04-07
O00074,C0865,P0595,3,2025-01-25
O00075,C0201,P0550,4,2025-04-24
O00076,C0113,P0436,4,2025-04-14
O00077,C0371,P0076,5,2024-07-10
O00078,C0222,P0148,2,2024-03-27
O00079,C0699,P0276,4,2024-02-15
O00080,C0831,P0184,4,2024-10-08
O00081,C0430,P0431,4,2024-12-27
O00082,C0924,P0132,2,2024-02-04
O00083,C0194,P0313,1,2023-12-01
O00084,C0271,P0035,5,2025-05-07
O00085,C0086,P0355,2,2024-12-28
O00086,C0892,P0627,1,2025-05-13
O00087,C0110,P0593,3,2025-07-28
O00088,C0529,P0658,5,2025-07-27
O00089,C0121,P0513,3,2024-05-13
O00090,C0088,P0540,4,2025-01-20
O00091,C0516,P0646,4,2023-11-01
O00092,C0361,P0700,3,2025-01-30
O00093,C0624,P0239,1,2025-02-12
O00094,C0220,P0514,1,2023-10-23
O00095,C0660,P0439,4,2025-08-13
O00096,C0282,P0606,3,2024-10-08
O00097,C0056,P0698,1,2025-08-11
O00098,C0437,P0340,2,2024-09-29
O00099,C0104,P0258,2,2025-07-19
O00100,C0051,P0214,2,2024-07-13
O00101,C0624,P0588,1,2024-12-20
O00102,C0305,P0278,1,2023-09-23
O00103,C0906,P0235,4,2024-10-20
O00104,C0179,P0587,2,2023-12-06
O00105,C0788,P0351,2,2025-05-23
O00106,C0652,P0274,5,2024-04-18
O00107,C0060,P0241,3,2025-06-03
O00108,C0695,P0197,3,2024-01-29
O00109,C0056,P0498,4,2024-01-20
O00110,C0293,P0245,1,2025-01-23
O00111,C0591,P0346,4,2023-11-17
O00112,C0237,P0336,1,2025-03-29
O00113,C0159,P0183,1,2023-10-31
O00114,C0842,P0254,2,2024-12-04
O00115,C0381,P0606,3,2024-05-13
O00116,C0741,P0355,2,2025-04-02
O00117,C0227,P0321,1,2023-12-28
O00118,C0032,P0125,1,2025-02-13
O00119,C0179,P0277,4,2023-11-16
O00120,C0562,P0389,2,2023-12-18
O00121,C0494,P0163,5,2023-12-27
O00122,C0602,P0290,3,2024-09-05
O00123,C0131,P0294,2,2024-12-11
O00124,C0709,P0266,4,2023-12-23
O00125,C0860,P0247,5,2024-12-28
O00126,C0137,P0137,5,2023-11-26
O00127,C0229,P0599,1,2023-12-20
O00128,C0147,P0095,5,2024-12-25
O00129,C0807,P0404,3,2025-05-03
O00130,C0734,P0038,2,2024-04-13
O00131,C0490,P0417,2,2025-06-25
O00132,C0172,P0663,3,2023-12-26
O00133,C0902,P0020,3,2025-07-27
O00134,C0773,P0229,1,2023-12-12
O00135,C0417,P0470,4,2025-01-18
O00136,C0304,P0016,4,2024-09-19
O00137,C0868,P0529,3,2025-04-30
O00138,C0829,P0545,1,2023-10-18
O00139,C0018,P0454,5,2024-11-06
O00140,C0201,P0188,3,2024-07-20
O00141,C0836,P0247,4,2024-04-25
O00142,C0037,P0014,1,2024-06-15
O00143,C0778,P0244,1,2025-06-27
O00144,C0309,P0541,1,2024-03-29
O00145,C0620,P0039,4,2025-04-26
O00146,C0296,P0079,3,2024-06-22
O00147,C0039,P0247,4,2023-12-18
O00148,C0579,P0135,5,2024-11-13
O00149,C0842,P0300,1,2023-11-15
O00150,C0805,P0297,1,2024-11-08
O00151,C0817,P0025,4,2024-08-04
O00152,C0292,P0056,5,2025-06-28
O00153,C0141,P0581,5,2024-04-06
O00154,C0222,P0319,5,2024-07-03
O00155,C0158,P0066,3,2025-06-21
O00156,C0601,P0399,1,2024-12-12
O00157,C0904,P0099,4,2025-08-28
O00158,C0125,P0339,1,2025-02-05
O00159,C0119,P0680,1,2025-01-15
O00160,C0343,P0132,4,2024-03-05
O00161,C0737,P0397,5,2023-10-08
O00162,C0731,P0166,1,2024-10-28
O00163,C0692,P0687,1,2024-11-25
O00164,C0840,P0165,3,2025-09-02
O00165,C0733,P0092,1,2024-12-21
O00166,C0909,P0696,1,2024-12-01
O00167,C0203,P0670,2,2024-05-10
O00168,C0480,P0394,1,2024-01-08
O00169,C0457,P0106,1,2025-07-04
