product_id,product_name,category,price
P0001,But,Books,326.01
P0002,Step,Electronics,17.79
P0003,Line,Toys,72.14
P0004,Management,Toys,217.22
P0005,Again,Electronics,352.71
P0006,Drive,Books,146.94
P0007,Production,Toys,354.93
P0008,Leg,Clothing,177.48
P0009,While,Electronics,162.94
P0010,Cultural,Electronics,312.19
P0011,Memory,Clothing,192.23
P0012,Thank,Home,384.06
P0013,You,Books,464.94
P0014,Decision,Home,348.24
P0015,The,Electronics,359.61
P0016,Life,Clothing,223.1
P0017,Employee,Electronics,66.43
P0018,Time,Clothing,379.39
P0019,Mind,Books,449.79
P0020,Success,Clothing,464.47
P0021,Manager,Home,168.68
P0022,Magazine,Electronics,421.23
P0023,Also,Electronics,208.01
P0024,Fish,Clothing,461.55
P0025,Particularly,Electronics,369.65
P0026,Ago,Books,454.14
P0027,Let,Clothing,193.97
P0028,Let,Books,35.31
P0029,Move,Clothing,328.2
P0030,News,Home,279.76
P0031,Method,Home,294.39
P0032,Billion,Clothing,237.1
P0033,Study,Clothing,440.35
P0034,Lot,Toys,387.8
P0035,Prepare,Clothing,192.86
P0036,Officer,Toys,438.36
P0037,Especially,Electronics,205.15
P0038,Everyone,Books,200.73
P0039,Protect,Home,147.59
P0040,Girl,Toys,269.83
P0041,Use,Home,320.51
P0042,Protect,Clothing,337.5
P0043,Evidence,Clothing,399.7
P0044,Wear,Clothing,257.21
P0045,Knowledge,Books,471.85
P0046,Brother,Clothing,155.7
P0047,Interesting,Home,375.88
P0048,Top,Books,222.95
P0049,A,,135.7
P0050,Late,Books,11.44
P0051,Mention,Clothing,392.12
P0052,Lot,Home,73.39
P0053,Power,Toys,425.38
P0054,Save,Toys,230.67
P0055,Local,Toys,282.22
P0056,Participant,Home,395.35
P0057,Wrong,Electronics,440.02
P0058,Who,Books,319.26
P0059,Mean,Toys,47.38
P0060,Camera,Home,338.42
P0061,Stage,Electronics,78.25
P0062,Reveal,Home,47.94
P0063,Road,Clothing,450.28
P0064,Usually,Books,258.7
P0065,May,Toys,185.69
P0066,Plant,Toys,113.76
P0067,Tough,Toys,62.7
P0068,Game,Electronics,321.77
P0069,Ball,Toys,308.83
P0070,Ahead,Home,69
P0071,You,Electronics,193.13
P0072,Tax,Clothing,262.62
P0073,Boy,Home,497.74
P0074,Sort,Home,14.35
P0075,Reality,Home,92.06
P0076,Water,Books,129.48
P0077,Might,Toys,70.97
P0078,Mrs,Books,43.97
P0079,Anything,Books,117.83
P0080,Young,Books,421.6
P0081,Movie,Books,277.48
P0082,Catch,Clothing,281.31
P0083,Usually,Electronics,315.68
P0084,Focus,Clothing,362.62
P0085,Final,Clothing,94.45
P0086,Technology,Clothing,236.05
P0087,Run,Electronics,346.23
P0088,Through,Books,412.51
P0089,Important,Toys,279.14
P0090,White,Toys,460.48
P0091,Here,Clothing,494.99
P0092,Same,Electronics,252.53
P0093,Parent,Home,16.04
P0094,Finish,Books,329.91
P0095,Land,Electronics,308.26
P0096,Later,Toys,192.17
P0097,Yeah,Books,372.78
P0098,Development,Home,456.88
P0099,Deep,Toys,413.97
P0100,Factor,Toys,134.57
P0101,Early,Clothing,25
P0102,Nation,Electronics,187.04
P0103,Visit,Toys,248.77
P0104,Watch,Home,38.96
P0105,For,Home,307.61
P0106,Wife,Clothing,345.81
P0107,Challenge,Toys,337.66
P0108,Give,Clothing,433.35
P0109,They,Books,438.17
P0110,The,Electronics,483.5
P0111,Machine,Toys,308.1
P0112,Present,Electronics,471.44
P0113,Our,Home,439
P0114,Hotel,Clothing,425.23
P0115,Star,Books,486.14
P0116,Beyond,Books,306.03
P0117,Quite,Home,430.64
P0118,Image,Clothing,472.51
P0119,Will,Toys,468.86
P0120,Notice,Clothing,101.35
P0121,Write,Toys,147.65
P0122,Lose,Books,258.85
P0123,Professional,Electronics,204.35
P0124,Interview,Toys,395.43
P0125,West,Home,18.97
P0126,Drop,Toys,467.97
P0127,Fear,Clothing,401.47
P0128,Subject,Home,81.8
P0129,Play,Electronics,406.95
P0130,Budget,Electronics,62.2
P0131,Story,Home,381.26
P0132,Six,Clothing,91.03
P0133,Result,Clothing,394.92
P0134,Laugh,Toys,412.66
P0135,Make,Clothing,424.14
P0136,Space,Books,429.6
P0137,Record,Toys,102.04
P0138,Fish,Toys,63.32
P0139,Provide,Electronics,341.15
P0140,Own,Books,485.23
P0141,Visit,Electronics,393.97
P0142,Main,Home,13.59
P0143,Increase,Books,281.33
P0144,Evidence,Clothing,431.02
P0145,Individual,Toys,383.25
P0146,Then,Clothing,166.9
P0147,Recent,Books,125.01
P0148,Policy,Electronics,499.31
P0149,Again,Books,317.84
P0150,Both,Electronics,219.6
P0151,Cover,Electronics,497.35
P0152,Likely,Home,490.67
P0153,Stand,Toys,124.86
P0154,Movie,Electronics,322.3
P0155,Drive,Books,81.26
P0156,Treatment,Electronics,156.97
P0157,As,Books,152.69
P0158,Science,Books,115.7
P0159,Thousand,Home,436.33
P0160,First,,306.17
P0161,Want,Clothing,484.99
P0162,Allow,Electronics,46.48
P0163,Try,Clothing,381.47
P0164,Build,Books,496.58
P0165,Wrong,Books,75.62
P0166,Art,Clothing,202.13
P0167,Turn,Toys,463.75
P0168,Address,Clothing,408.65
P0169,Boy,Electronics,81.57
P0170,You,Clothing,479.93
P0171,Wife,Home,45.54
P0172,Social,Electronics,231.18
P0173,Rate,Books,125.15
P0174,Market,Clothing,130.98
P0175,Unit,Toys,241.99
P0176,Child,Clothing,325.78
P0177,Reality,Toys,347.92
P0178,Environment,Clothing,254.83
P0179,Wrong,Electronics,16.99
P0180,Wind,Home,367.47
P0181,Week,Books,408.75
P0182,Option,Books,283.3
P0183,Star,Electronics,494.42
P0184,Your,Toys,191.38
P0185,Yet,Toys,209.53
P0186,Outside,Electronics,83.1
P0187,How,Clothing,275.24
P0188,Order,Clothing,50.1
P0189,Sister,Toys,168.09
P0190,Sometimes,Books,109.04
P0191,Car,Toys,364.51
P0192,Deep,Electronics,160.95
P0193,Explain,Toys,20.51
P0194,Window,Books,369.34
P0195,Computer,Toys,307.77
P0196,Edge,Toys,462.88
P0197,Ask,Clothing,202.92
P0198,Key,Books,223.96
P0199,Far,Toys,122.5
P0200,Concern,Home,483.85
P0201,Field,Toys,214.68
P0202,National,Books,401.2
P0203,Child,Home,209.93
P0204,Value,Electronics,51.44
P0205,Hotel,Books,273.59
P0206,Model,Home,183.38
P0207,Indicate,Books,343.74
P0208,Child,Electronics,467.15
P0209,She,Home,400.79
P0210,Against,Home,98.36
P0211,Ahead,Clothing,59.35
P0212,Travel,Clothing,72.29
P0213,Campaign,Home,207.45
P0214,Yeah,Electronics,37.75
P0215,For,Toys,239.63
P0216,While,Toys,450.13
P0217,People,Electronics,461.23
P0218,Special,Toys,488.64
P0219,Right,Books,326.56
P0220,Someone,Toys,144.58
P0221,School,Toys,277.97
P0222,Huge,Books,46.52
P0223,Campaign,Clothing,120.07
P0224,Under,Clothing,162.73
P0225,Deep,Clothing,243.47
P0226,Play,Clothing,321.16
P0227,Writer,Toys,309.25
P0228,When,Home,151.03
P0229,Sign,Toys,121.36
P0230,Subject,Clothing,284.44
P0231,Attack,Home,363.54
P0232,Forward,Electronics,157.96
P0233,Professional,Toys,70.21
P0234,Arm,Home,424.38
P0235,Own,Electronics,146.15
P0236,Imagine,Clothing,137.4
P0237,Skin,Electronics,357.45
P0238,Thousand,Toys,83.76
P0239,Walk,Electronics,119.95
P0240,Minute,Home,205.02
P0241,Real,Toys,172.36
P0242,You,Clothing,85.52
P0243,Society,Home,124.95
P0244,Risk,Clothing,130.47
P0245,Such,Electronics,30.4
P0246,Southern,Clothing,392.34
P0247,Its,Electronics,379.46
P0248,Environment,Electronics,232.34
P0249,Why,Books,94.29
P0250,Forward,Toys,454.54
P0251,House,Electronics,144.3
P0252,Tend,Books,229.13
P0253,Especially,Clothing,432.83
P0254,As,Clothing,285.59
P0255,Movie,Books,86.51
P0256,Movement,Home,34.47
P0257,Bring,Toys,414.91
P0258,Decide,Toys,458.87
P0259,Group,Electronics,439
P0260,Food,Clothing,199.87
P0261,Defense,Toys,147.25
P0262,Important,Clothing,415.11
P0263,Green,Clothing,187.62
P0264,Dog,Home,272.45
P0265,Improve,Home,21.98
P0266,Task,Toys,240.07
P0267,Tonight,Electronics,59.33
P0268,Option,Books,371.72
P0269,During,Clothing,417.48
P0270,Former,Electronics,102.27
P0271,Add,Home,437.34
P0272,Work,Toys,97.73
P0273,Them,Electronics,322.01
P0274,Both,Home,208.26
P0275,Often,Home,24.3
P0276,Score,Toys,79.64
P0277,Also,Toys,203.55
P0278,Modern,Home,255.99
P0279,Practice,Home,330.86
P0280,Billion,Clothing,95.71
P0281,Across,Electronics,212.96
P0282,Need,Toys,184.82
P0283,West,,202.73
P0284,Good,Clothing,74.73
P0285,Know,Home,270.71
P0286,Yourself,Home,201.1
P0287,Similar,Toys,490.04
P0288,Account,Electronics,244.72
P0289,Fund,Clothing,302.04
P0290,Cultural,Clothing,349.45
P0291,Military,Home,325.91
P0292,Manager,Books,423.96
P0293,Money,Home,495.46
P0294,Recently,Books,34.3
P0295,Day,Toys,376.43
P0296,Billion,Home,400.47
P0297,Between,Clothing,401.68
P0298,Administration,Books,419.39
P0299,Life,Home,314.74
P0300,Test,Electronics,259.21
P0301,Plant,Electronics,419.98
P0302,Pretty,Home,477.31
P0303,Why,Electronics,194.98
P0304,Tend,Home,295.17
P0305,Daughter,Books,185.52
P0306,Sing,Home,483.97
P0307,Program,Clothing,353.89
P0308,May,Toys,70.78
P0309,Second,Books,252.59
P0310,Tonight,Toys,131.73
P0311,Direction,Books,25.29
P0312,Argue,Toys,405.98
P0313,Address,Clothing,180.78
P0314,Follow,Home,124.16
P0315,Ago,Toys,340
P0316,Expert,Clothing,384.31
P0317,Garden,Books,482.2
P0318,Magazine,Electronics,181.22
P0319,But,Electronics,41
P0320,Respond,Electronics,463.07
P0321,Computer,Clothing,292.65
P0322,Ball,Books,150.07
P0323,Century,Clothing,239.53
P0324,Skill,Books,420.65
P0325,Tough,Toys,343.68
P0326,West,Books,101.64
P0327,Worker,Clothing,438.58
P0328,Ok,Electronics,397.03
P0329,Window,Clothing,204.2
P0330,Your,Clothing,18.25
P0331,Production,Electronics,61.48
P0332,Nearly,Clothing,76.03
P0333,Life,Home,384.19
P0334,Whether,Clothing,77.4
P0335,Firm,Clothing,190.82
P0336,Pass,Clothing,390.75
P0337,Hope,Toys,119.13
P0338,Happen,Toys,325.46
P0339,Mean,Electronics,449.02
P0340,Enough,Clothing,388.54
P0341,Southern,Clothing,114.5
P0342,Chance,Home,76.79
P0343,Understand,Books,265.95
P0344,Experience,Books,279.58
P0345,Become,Toys,472.71
P0346,As,Electronics,154.22
P0347,Education,Toys,333.4
P0348,First,Clothing,400.99
P0349,Military,Home,466.86
P0350,Money,Electronics,496.02
P0351,Environmental,Electronics,304.48
P0352,Start,Toys,10.42
P0353,Recently,Electronics,396.07
P0354,Accept,Home,153.29
P0355,Rise,Books,67.87
P0356,Culture,Electronics,418.97
P0357,Body,Toys,456.16
P0358,Standard,Electronics,499.42
P0359,Fight,Toys,372.72
P0360,Area,Clothing,275.34
P0361,For,Toys,108.68
P0362,Low,Home,411.71
P0363,Meet,Clothing,95.94
P0364,Real,Books,16.97
P0365,Serve,Electronics,306.64
P0366,Finally,Home,18.91
P0367,Close,Toys,86.05
P0368,May,Books,284.25
P0369,Senior,Home,24.72
P0370,Ever,Home,71.52
P0371,Force,Electronics,488.44
P0372,Bag,Toys,15.39
P0373,Onto,Home,159.76
P0374,Sure,Toys,162.1
P0375,Into,Books,390.24
P0376,Develop,Clothing,119.5
P0377,Along,Books,283.85
P0378,Our,Books,186.34
P0379,Write,Books,15.3
P0380,Billion,Toys,299.75
P0381,That,Home,302.05
P0382,Worker,Toys,173.86
P0383,Later,Electronics,185.81
P0384,Interview,Electronics,406.01
P0385,Account,Clothing,364.92
P0386,About,Electronics,33.53
P0387,Anyone,Toys,112.77
P0388,Letter,Clothing,55.23
P0389,Thing,Home,54.08
P0390,Ok,Clothing,106.13
P0391,There,Books,227.42
P0392,Show,Books,347.79
P0393,Play,Home,15.41
P0394,Building,Clothing,53.48
P0395,Also,Toys,91.24
P0396,Produce,Toys,339.94
P0397,Should,Books,434.74
P0398,Rise,Electronics,165.98
P0399,Someone,Home,199.88
P0400,Impact,Toys,168.9
P0401,Glass,Clothing,70.37
P0402,Bar,Electronics,269.92
P0403,Customer,Toys,427.44
P0404,Trip,Books,43.18
P0405,Work,Home,15.62
P0406,Exist,Books,181.92
P0407,New,Books,74.87
P0408,Everybody,Home,302.46
P0409,Follow,Electronics,147.04
P0410,Decide,Home,72.74
P0411,Low,Books,340.87
P0412,Word,Electronics,335.01
P0413,Culture,Books,106.55
P0414,Congress,Electronics,136.54
P0415,Especially,Toys,338.38
P0416,Evidence,Clothing,370.25
P0417,Result,Home,145.03
P0418,Degree,Clothing,360.5
P0419,Black,Home,487.85
P0420,Interesting,Books,162.89
P0421,Tree,Home,21.89
P0422,May,Clothing,30.36
P0423,Nation,Books,121.03
P0424,Role,,321.09
P0425,Area,Home,247.13
P0426,Air,Electronics,171.27
P0427,Participant,Books,65.58
P0428,Person,Clothing,473.6
P0429,Item,Electronics,375.12
P0430,Throw,Books,131.78
P0431,But,Clothing,79.17
P0432,Town,Home,456.44
P0433,Apply,Books,393.33
P0434,Tough,Toys,173.22
P0435,Stay,Home,289.39
P0436,Of,Toys,457.3
P0437,Development,Books,70.54
P0438,Perhaps,Home,411.55
P0439,Third,Electronics,71.14
P0440,Itself,Books,16.91
P0441,Similar,Electronics,10.84
P0442,Respond,Clothing,221.53
P0443,Pull,Toys,333.36
P0444,House,Toys,256.79
P0445,Respond,Books,136.88
P0446,Nice,Clothing,251.15
P0447,Support,Electronics,39.33
P0448,Keep,Home,387.6
P0449,Cut,Electronics,475.59
P0450,War,Home,293.52
P0451,Her,Electronics,175.13
P0452,Sound,Home,275.02
P0453,Job,Books,208.59
P0454,Attack,Books,159.31
P0455,Beautiful,Toys,203.71
P0456,Should,Electronics,388.79
P0457,Work,Books,450.28
P0458,Ball,Electronics,292.85
P0459,Order,Clothing,35.91
P0460,Available,Toys,188.56
P0461,Pressure,Electronics,195.79
P0462,Interest,Books,94.12
P0463,Guess,Electronics,97.76
P0464,Better,Clothing,386.86
P0465,Important,Electronics,117.29
P0466,Discover,Toys,45.39
P0467,Consider,Books,384.78
P0468,Heavy,Clothing,290.75
P0469,Clear,Books,366.08
P0470,One,Clothing,74.04
P0471,Ten,Clothing,87.53
P0472,Experience,Electronics,330.17
P0473,Customer,Toys,449.55
P0474,Meet,Electronics,137.37
P0475,Lose,Toys,296.89
P0476,Class,Home,477.52
P0477,Plant,Electronics,493.64
P0478,Other,Clothing,464.77
P0479,The,Electronics,59.27
P0480,Year,Books,256.05
P0481,Ago,Home,296.81
P0482,Story,Electronics,190.72
P0483,Deep,Toys,157.92
P0484,Community,Home,207.97
P0485,Decade,Home,452.57
P0486,Control,Electronics,116.16
P0487,Talk,Clothing,26.06
P0488,Itself,Clothing,463.33
P0489,Fish,Home,206.21
P0490,Maybe,Home,299.04
P0491,Together,Books,481.06
P0492,Edge,Home,82
P0493,Family,Electronics,84.71
P0494,Word,Toys,146.52
P0495,Light,Books,253.63
P0496,Data,Electronics,187.16
P0497,East,Books,419.54
P0498,Together,Clothing,388.41
P0499,Could,Clothing,162.37
P0500,Total,Books,233.83
P0501,School,Clothing,327.76
P0502,Natural,Home,110.29
P0503,Soldier,Books,51.83
P0504,Commercial,Electronics,157.35
P0505,Vote,Books,332.08
P0506,Enough,Books,288.29
P0507,Movie,Home,295.95
P0508,Way,Electronics,412.27
P0509,Will,Electronics,371.37
P0510,Avoid,Books,208.5
P0511,Goal,Clothing,161.31
P0512,Free,Books,297.44
P0513,Tv,Books,240.02
P0514,Thousand,Clothing,398.13
P0515,Society,Electronics,421.8
P0516,Subject,Clothing,241.69
P0517,Along,Clothing,465.29
P0518,Finish,Clothing,444.3
P0519,Sort,Electronics,83.19
P0520,Prepare,Clothing,268.18
P0521,Mean,Books,33.95
P0522,Reach,Clothing,382.29
P0523,Yourself,Clothing,175.62
P0524,Public,Books,488.21
P0525,No,Clothing,163.82
P0526,Situation,Electronics,475.08
P0527,Other,Toys,40.5
P0528,Weight,Clothing,281.39
P0529,East,Electronics,11.86
P0530,Big,Books,449.62
P0531,Above,Electronics,287.51
